CaseId,Q4_1,Q4_2,Q4_3,Q4_4,PartyID,Ideology,Gender,Age4,Age7,White,Black,Hispanic,Asian,Education5,Income6,SexismOrder,HostileSexism1,HostileSexism2,HostileSexism3,HostileSexism4,BenevolentSexism1,BenevolentSexism2,BenevolentSexism3,BenevolentSexism4,MilAssert1,MilAssert2,MilAssert3,MaleName,FemaleName,StayOut,NotEngage,Engage,FemaleOpp,FemaleUS,DemocratUS,MM_StayOut,MM_NotEngage,MM_Engage,FM_StayOut,FM_NotEngage,FM_Engage,MF_StayOut,MF_NotEngage,MF_Engage,FF_StayOut,FF_NotEngage,FF_Engage,Disapproval,DisapprovalBinary,AttentionCheck1,AttentionCheck2,AttentionCheck3,AttentionCheck,RegimeConfounding,NonWhiteConfounding,BlackConfounding,HispanicConfounding
3305,On accident skipped and didn’t read,On accident skipped and didn’t read,On accident skipped and didn’t read,On accident skipped and didn’t read,6,6,1,1,1,0,0,1,0,2,1,0,2,4,1,1,4,4,2,4,3,3,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,1,-10,0,0,0
6345,spineless,spineless,short sighted,spineless,2,4,0,4,6,1,0,0,0,2,3,0,4,1,4,3,4,3,4,4,3,3,3,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,1,1,3,0,0,0,0
1498,Tactical,98,98,98,4,NA,0,1,1,0,0,1,0,3,2,0,3,4,2,1,4,4,5,6,1,4,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,3,-4,1,0,0
2819,Evasive,Ignoring,Defiant,Nonconforming,7,NA,0,4,6,0,1,0,0,3,1,0,3,6,5,1,4,4,3,2,3,3,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,1,0,0
2431,Aggressive,Dominant,Hardworking,Political,7,6,0,2,3,0,0,0,1,5,5,0,4,5,6,4,3,3,4,4,4,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,2,4,0,0,0
1774,inept,misinformed,negligent,slow,1,2,0,4,6,1,0,0,0,2,3,0,5,3,3,3,3,5,4,4,5,4,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,1,1,3,-10,1,1,0
5157,FIrm,Direct,protective,correct,1,1,1,4,6,1,0,0,0,5,3,0,3,3,5,4,3,4,5,5,4,4,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,3,-4,0,0,0
2088,Leader,Protect his troops,Honest,Concerned,6,1,1,2,3,0,0,1,0,1,1,1,2,2,3,1,4,4,6,6,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,1,3,-8,0,0,0
317,Coward,Weak,Stupid,Bought,2,2,1,4,5,1,0,0,0,3,1,0,6,3,5,3,2,3,6,6,5,4,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,2,-10,1,0,0
6684,weak,ignorant,low iq,unintelligent,1,2,1,3,4,1,0,0,0,4,4,0,6,3,6,5,4,3,4,6,5,5,5,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,1,1,3,10,0,0,0
1431,Weak,Waivering,Unresolved,Unamerican,2,2,0,2,3,1,0,0,0,3,3,0,6,4,5,2,4,4,6,6,5,5,4,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,-2,0,0,0
5591,Strong,Resolved,Loyal,Decisive,1,5,0,3,4,1,0,0,0,3,5,1,6,2,5,5,4,5,3,6,1,1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,3,-6,0,0,0
692,Neutral,Ambivalent,Disengaged,Biased,6,4,0,4,5,1,0,0,0,4,4,1,3,3,3,1,4,3,6,5,2,4,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,1,3,-8,0,0,0
5477,Diplomatic,Strategic,Intelligent,Peaceful,3,2,0,3,5,0,0,0,1,5,5,1,6,6,6,6,6,1,6,6,1,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,3,-6,0,0,0
5187,Aware,Thoughtful,Reserved,Strong,6,4,1,4,7,1,0,0,0,5,3,1,1,1,5,1,2,2,2,5,4,1,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,2,-10,1,1,0
6587,Winning,Winning,Winning,Winning,1,1,0,2,2,1,0,0,0,2,2,0,6,6,6,1,2,1,5,6,5,5,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-10,0,0,0
5417,98,98,98,98,6,6,1,1,2,1,0,0,0,3,2,1,3,3,4,2,2,2,5,6,2,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0
3329,renegger,weak,showoff,rash,4,7,1,2,3,1,0,0,0,3,5,0,5,5,2,2,4,3,5,6,2,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,3,-8,0,0,0
1291,Genuine,New,Fearful,Interesting,3,6,0,1,2,0,0,1,0,2,1,1,3,5,4,4,4,5,4,5,3,4,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,1,1,3,8,1,0,0
802,Bold,Clear,Unfazed,Power,4,6,0,4,6,1,0,0,0,2,2,0,6,1,1,1,6,6,6,6,4,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,1,3,-10,1,0,0
4386,Economic,Believe,Strong,Together,2,5,0,3,5,0,0,0,1,3,1,1,3,2,4,4,6,6,3,3,5,4,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,-10,1,0,0
4578,Fair,Strong,Uncertain,Strong,5,4,1,3,4,1,0,0,0,5,5,0,1,2,3,1,5,3,3,4,2,4,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1,1,3,2,0,0,0
6513,Clear,Decisive,Empowered,Challenged,6,6,1,4,6,1,0,0,0,5,6,0,2,1,1,1,2,1,5,4,2,4,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,-6,0,0,0
4698,98,98,98,98,3,2,0,4,6,1,0,0,0,3,3,1,3,2,2,4,4,3,4,5,5,1,4,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,1,1,3,-10,0,0,0
465,weal,liar,cautious,stupid,4,NA,0,3,5,1,0,0,0,2,4,0,3,3,2,2,3,4,5,5,3,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,1,0,2,0,0,0,0
2065,Patient,Conflicted,Selfless,Pacifist,2,5,0,1,2,0,0,1,0,3,3,1,6,5,5,5,2,1,4,4,5,5,4,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,2,-2,0,0,0
791,strong,weak,deliberate,hotheaded,5,3,0,1,1,1,0,0,0,2,3,0,2,2,4,2,1,1,6,6,1,2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0
6193,Dumb,Uneducated,Ridiculous,Idiot,2,6,1,2,3,1,0,0,0,4,2,1,1,2,4,1,3,3,3,3,1,4,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,1,0,1,-2,0,0,0
5997,pressured,controlled,safe,measured,7,6,1,4,6,1,0,0,0,4,4,0,2,2,2,1,3,2,1,4,3,4,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,2,-4,0,0,0
5540,determined,protective,pragmatic,inclined,7,7,1,2,3,1,0,0,0,5,5,0,2,1,2,2,5,3,3,4,1,4,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,2,-6,0,0,0
2512,Impulsive,Threatening,Impressionable,Unreliable,4,5,0,2,3,1,0,0,0,2,4,0,2,3,2,2,2,2,3,5,1,2,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,1,3,0,0,0,0
6311,Nationalist,Carefree,insensitive,98,6,6,0,2,2,0,1,0,0,5,4,1,3,4,4,3,4,4,5,5,3,2,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,3,-4,0,0,0
2738,I,Dont,Know,!,6,NA,1,1,1,0,0,1,0,3,3,0,1,3,3,4,3,4,3,3,3,3,3,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,0
3682,enigmatic,passive,hasty,unreliable,4,NA,0,2,3,1,0,0,0,3,3,0,6,3,4,4,2,2,5,6,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,2,-10,0,0,0
2427,thoughtful,aware,commanding,decisive,7,4,1,4,7,1,0,0,0,2,3,0,2,1,2,2,3,3,2,5,3,4,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,1,3,8,0,0,0
212,Charge,unsubscrib,think,"""norma",4,7,0,2,3,1,0,0,0,1,3,1,4,4,3,3,4,3,6,5,2,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,0,1,0,1,0,0
5183,irrational,hostile,unprocessed,ignorant,2,4,1,1,1,1,0,0,0,3,1,1,3,3,4,4,5,4,3,6,2,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,-10,1,0,0
6019,Right,Conscience,Thoughtful,Knowledgeable,5,NA,0,2,3,1,0,0,0,2,3,0,4,1,5,1,5,4,6,6,3,4,3,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,3,-6,0,0,0
5104,Trustworthy,Fair,Loyal,Leader,6,4,1,2,3,1,0,0,0,5,5,0,1,2,4,1,2,2,3,6,2,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,-10,0,0,0
5155,jingoistic,noncommittal,flaky,hawkish,5,7,0,1,1,1,0,0,0,3,3,0,1,1,1,1,5,3,3,4,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,3,0,0,0,0
5271,Great,Good,Better,Do it,3,4,0,4,6,1,0,0,0,1,3,0,5,3,1,1,1,5,2,6,5,5,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,2,-2,0,0,0
4275,Integrity,Strategic,Manipulative,Loyal,2,3,1,3,4,0,0,1,0,5,5,1,1,3,5,1,2,2,4,6,2,4,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,1,2,6,0,0,0
985,Wrong,Senseless,Needless,Unnessary,6,4,1,4,7,0,0,1,0,3,2,0,2,1,1,2,5,5,6,6,2,3,3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,3,10,0,0,0
6745,Thorough,Thoughtful,Decisive,Self-assured,2,4,1,4,6,1,0,0,0,3,4,0,5,2,3,1,1,2,5,5,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,1,3,-8,0,0,0
5585,didn’t follow through on her promise,nothing else,nothing else,nothing else,5,7,0,2,3,0,0,0,1,5,4,1,5,1,1,5,1,1,5,6,1,4,3,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,1,0,0,0,0
2102,Poor,Poorly,Poorer,Bad,2,6,1,3,5,1,0,0,0,3,2,0,6,1,5,1,6,6,2,6,4,5,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,1,1,3,-2,0,0,0
7668,Unpractical,Unrealistic,Concerned,Overbearing,6,NA,1,3,4,0,1,0,0,3,1,0,6,5,1,1,2,2,5,6,3,2,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,1,1,3,8,0,0,0
6126,Democrat,Manchurian,Coward,Loser,4,3,0,2,3,1,0,0,0,2,5,0,5,4,6,6,1,1,5,6,5,5,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,-8,0,0,0
1027,Weak,Nieve,Uninforceable,Leadershipless,1,2,0,4,7,1,0,0,0,3,3,0,2,2,6,3,5,5,6,6,5,5,5,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,-10,0,0,0
7010,Smart,Un-obstrusive,Libertarian,Female,4,4,1,1,2,1,0,0,0,4,3,1,3,2,1,2,2,1,4,5,1,2,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,3,-2,0,0,0
5362,Strong,Decisive,Forceful,Heroic,1,2,1,3,4,1,0,0,0,5,3,1,2,1,5,5,5,2,3,5,5,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,3,-10,0,0,0
5747,Thoughtful,Committed,Strong,Leader,7,6,1,4,7,1,0,0,0,5,4,0,1,1,1,1,4,3,6,6,3,4,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,1,3,-6,0,0,0
7057,Suck,Petty,Wrong,Sad,6,5,1,3,5,0,1,0,0,1,2,0,4,2,3,3,3,5,1,3,3,3,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1,-6,0,0,0
7123,Hope,Determined,Worried,Angry,2,7,0,1,1,0,0,1,0,1,1,1,5,5,6,3,5,2,1,1,1,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,1,3,-8,1,0,1
3408,weak,scared,ignorant,unworthy,1,2,0,2,3,1,0,0,0,5,5,0,6,5,5,6,2,2,5,2,4,4,4,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,1,1,3,-4,0,0,0
4433,Clear,Direct,Strong,Smart,7,7,0,3,4,1,0,0,0,5,6,0,1,1,1,1,3,1,5,5,1,4,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,-8,0,0,0
4060,Thoughtful,Caring,Intelligent,Conservative,2,4,0,4,5,0,0,1,0,3,6,0,4,3,3,1,3,2,4,5,4,5,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,1,3,-10,0,0,0
3471,patient,brave,thoughtful,smart,5,4,1,4,6,1,0,0,0,3,4,0,3,2,2,1,3,4,5,5,2,4,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,3,-6,0,0,0
1971,In control,Has to make decisions,In power,Control,6,4,1,4,7,0,0,1,0,3,1,0,3,5,2,1,4,4,3,6,2,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0
4965,Strong,Knowing,Smart,Quick,4,NA,1,2,3,1,0,0,0,3,2,1,3,3,4,4,4,4,3,3,4,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,10,1,0,0
2760,weak,vacillating,untrustworthy,hasty,5,6,0,4,7,0,0,0,1,5,3,1,1,2,1,1,5,3,2,2,2,4,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,1,1,3,-8,0,0,0
3461,Tentative,Cautious,Calculating,Understanding,2,3,0,4,5,1,0,0,0,4,6,1,3,2,4,3,3,4,4,5,4,4,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,-10,0,0,0
6478,sad,coward,confused,whimp,4,4,0,2,3,0,0,1,0,2,2,0,6,6,6,1,2,1,6,6,3,3,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,1,0,1,1,0
386,Bs,Liar,Bs,Liar,7,6,1,1,2,0,1,0,0,1,1,1,5,5,1,2,1,1,6,6,3,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,1,2,0,1,1,0
92,Slow,Unsure,Fearful,Crazy,6,3,1,3,4,0,1,0,0,3,1,1,1,2,1,1,5,5,5,4,4,3,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,1,3,4,0,0,0
3057,Republican,War,President military,Casualties,7,7,1,3,4,0,0,1,0,3,3,0,1,1,1,1,1,1,6,6,1,2,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,3,-10,0,0,0
5022,wall,money,jobs,great,1,2,0,2,3,0,0,0,1,4,6,0,3,3,2,3,5,4,3,3,5,4,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,8,0,0,0
5691,Lienant,Weak,Humble,Honest,6,4,1,3,5,1,0,0,0,2,3,1,4,2,2,1,2,2,5,5,2,2,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,2,-10,0,0,0
1898,Truthfull,Loyal,Influential,Random,6,4,0,1,1,0,0,1,0,3,4,0,5,1,5,4,4,4,6,6,3,4,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,2,-6,0,0,0
